elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
3454.793,17130.0,30.0,17160.0,warm,zip
3491.183,17250.0,30.0,17280.0,warm,zip
3491.268,17110.0,30.0,17140.0,warm,zip
3491.277,17090.0,20.0,17110.0,warm,zip
1513.448,7700.0,30.0,7730.0,warm,zip
1760.784,8040.0,30.0,8070.0,warm,zip
1760.929,8660.0,10.0,8670.0,warm,zip
1777.063,10260.0,20.0,10280.0,warm,zip
1332.943,6690.0,30.0,6720.0,warm,zip
1357.922,6570.0,0.0,6570.0,warm,zip
1367.272,7220.0,10.0,7230.0,warm,zip
1367.342,6210.0,30.0,6240.0,warm,zip
1257.619,6930.0,10.0,6940.0,warm,zip
1335.644,6840.0,20.0,6860.0,warm,zip
1335.792,6590.0,0.0,6590.0,warm,zip
1351.755,5930.0,10.0,5940.0,warm,zip
1927.766,9280.0,0.0,9280.0,warm,zip
1927.905,8170.0,20.0,8190.0,warm,zip
1931.406,10250.0,10.0,10260.0,warm,zip
1931.491,9950.0,10.0,9960.0,warm,zip
738.3,3560.0,10.0,3570.0,warm,zip
738.384,3570.0,30.0,3600.0,warm,zip
738.393,3740.0,10.0,3750.0,warm,zip
760.73,3710.0,10.0,3720.0,warm,zip
1290.108,6810.0,20.0,6830.0,warm,zip
1290.184,6450.0,40.0,6490.0,warm,zip
1313.08,6110.0,10.0,6120.0,warm,zip
1313.232,6230.0,20.0,6250.0,warm,zip
2545.777,13960.0,20.0,13980.0,warm,zip
2545.851,12340.0,20.0,12360.0,warm,zip
2545.854,11800.0,20.0,11820.0,warm,zip
2569.859,12230.0,10.0,12240.0,warm,zip
1480.414,7530.0,10.0,7540.0,warm,zip
1530.818,7230.0,10.0,7240.0,warm,zip
1571.662,7940.0,20.0,7960.0,warm,zip
1571.849,7940.0,10.0,7950.0,warm,zip
1355.203,7310.0,10.0,7320.0,warm,zip
1358.141,6780.0,10.0,6790.0,warm,zip
1397.202,6420.0,20.0,6440.0,warm,zip
1397.295,6700.0,30.0,6730.0,warm,zip
1619.104,7690.0,0.0,7690.0,warm,zip
1619.187,7700.0,10.0,7710.0,warm,zip
1619.201,8590.0,20.0,8610.0,warm,zip
1634.356,8130.0,10.0,8140.0,warm,zip
420.487,2520.0,20.0,2540.0,warm,zip
496.821,2720.0,10.0,2730.0,warm,zip
496.976,1150.0,0.0,1150.0,warm,zip
497.037,2660.0,20.0,2680.0,warm,zip
1254.463,6390.0,20.0,6410.0,warm,zip
1254.545,6530.0,0.0,6530.0,warm,zip
1254.553,6300.0,10.0,6310.0,warm,zip
1268.977,5450.0,30.0,5480.0,warm,zip
814.376,4780.0,10.0,4790.0,warm,zip
952.281,4480.0,10.0,4490.0,warm,zip
952.45,4360.0,0.0,4360.0,warm,zip
952.508,4980.0,10.0,4990.0,warm,zip
859.388,4120.0,10.0,4130.0,warm,zip
859.482,4180.0,0.0,4180.0,warm,zip
859.496,4190.0,10.0,4200.0,warm,zip
887.749,4640.0,20.0,4660.0,warm,zip
868.29,4210.0,10.0,4220.0,warm,zip
909.172,4580.0,10.0,4590.0,warm,zip
909.292,4530.0,10.0,4540.0,warm,zip
909.304,4430.0,30.0,4460.0,warm,zip
685.232,3700.0,0.0,3700.0,warm,zip
685.324,3710.0,20.0,3730.0,warm,zip
685.334,2850.0,0.0,2850.0,warm,zip
727.685,3540.0,20.0,3560.0,warm,zip
1419.22,7090.0,0.0,7090.0,warm,zip
1419.385,6330.0,0.0,6330.0,warm,zip
1419.448,7580.0,10.0,7590.0,warm,zip
1419.5,6700.0,30.0,6730.0,warm,zip
1630.22,8360.0,20.0,8380.0,warm,zip
1630.32,8490.0,20.0,8510.0,warm,zip
1630.426,7580.0,0.0,7580.0,warm,zip
1630.518,7760.0,20.0,7780.0,warm,zip
2283.355,10930.0,10.0,10940.0,warm,zip
2285.325,10970.0,10.0,10980.0,warm,zip
2285.375,11650.0,30.0,11680.0,warm,zip
2285.383,11120.0,20.0,11140.0,warm,zip
772.429,3560.0,20.0,3580.0,warm,zip
772.568,3560.0,0.0,3560.0,warm,zip
772.629,3640.0,20.0,3660.0,warm,zip
772.678,3780.0,10.0,3790.0,warm,zip
1195.968,4950.0,0.0,4950.0,warm,zip
1204.44,6060.0,20.0,6080.0,warm,zip
1204.467,6030.0,0.0,6030.0,warm,zip
1204.466,6560.0,20.0,6580.0,warm,zip
1560.057,7820.0,20.0,7840.0,warm,zip
1634.808,8070.0,20.0,8090.0,warm,zip
1634.921,8210.0,10.0,8220.0,warm,zip
1634.943,8010.0,30.0,8040.0,warm,zip
1307.044,6930.0,20.0,6950.0,warm,zip
1307.121,6790.0,30.0,6820.0,warm,zip
1318.755,6820.0,0.0,6820.0,warm,zip
1360.814,5680.0,0.0,5680.0,warm,zip
341.076,2080.0,0.0,2080.0,warm,zip
568.514,2800.0,20.0,2820.0,warm,zip
568.612,2860.0,10.0,2870.0,warm,zip
568.624,2700.0,20.0,2720.0,warm,zip
946.338,4580.0,20.0,4600.0,warm,zip
946.479,4630.0,10.0,4640.0,warm,zip
1006.549,5590.0,0.0,5590.0,warm,zip
1006.697,4810.0,10.0,4820.0,warm,zip
1404.956,7390.0,10.0,7400.0,warm,zip
1407.435,7050.0,10.0,7060.0,warm,zip
1407.523,5950.0,10.0,5960.0,warm,zip
1407.537,7360.0,40.0,7400.0,warm,zip
893.263,5170.0,0.0,5170.0,warm,zip
1095.179,5750.0,10.0,5760.0,warm,zip
1095.263,5430.0,10.0,5440.0,warm,zip
1097.739,5040.0,0.0,5040.0,warm,zip
1756.932,8900.0,10.0,8910.0,warm,zip
1757.081,8540.0,20.0,8560.0,warm,zip
1769.362,8760.0,0.0,8760.0,warm,zip
1769.527,8690.0,20.0,8710.0,warm,zip
1475.878,7480.0,0.0,7480.0,warm,zip
1475.959,7310.0,30.0,7340.0,warm,zip
1475.968,7370.0,0.0,7370.0,warm,zip
1514.546,7260.0,10.0,7270.0,warm,zip
1610.616,8080.0,10.0,8090.0,warm,zip
1688.413,7910.0,10.0,7920.0,warm,zip
1688.498,8390.0,20.0,8410.0,warm,zip
1688.501,8480.0,20.0,8500.0,warm,zip
723.852,3800.0,20.0,3820.0,warm,zip
723.935,4130.0,10.0,4140.0,warm,zip
816.441,3430.0,20.0,3450.0,warm,zip
816.596,3750.0,30.0,3780.0,warm,zip
1979.567,10520.0,0.0,10520.0,warm,zip
1993.707,10080.0,20.0,10100.0,warm,zip
1993.837,9900.0,10.0,9910.0,warm,zip
1993.892,8700.0,20.0,8720.0,warm,zip
231.502,1520.0,0.0,1520.0,warm,zip
448.022,2360.0,10.0,2370.0,warm,zip
448.178,2520.0,0.0,2520.0,warm,zip
448.249,2040.0,10.0,2050.0,warm,zip
1675.205,8010.0,20.0,8030.0,warm,zip
1675.299,8450.0,10.0,8460.0,warm,zip
1678.926,8580.0,10.0,8590.0,warm,zip
1678.966,8110.0,20.0,8130.0,warm,zip
