elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,mode,source
934.854,222.086,26.65,248.736,cold,zip
1020.114,245.79,23.69,269.48,cold,zip
1281.26,283.011,33.411,316.422,cold,zip
1195.054,257.452,34.392,291.844,cold,zip
1300.895,295.295,38.26,333.555,cold,zip
1309.069,301.277,35.328,336.605,cold,zip
1398.71,308.936,38.249,347.185,cold,zip
1677.438,379.955,37.212,417.167,cold,zip
1290.289,289.673,41.102,330.775,cold,zip
1304.097,292.936,37.354,330.29,cold,zip
988.076,216.119,27.381,243.5,cold,zip
1179.969,274.448,27.543,301.991,cold,zip
895.191,198.646,28.378,227.024,cold,zip
1395.265,300.543,36.34,336.883,cold,zip
1297.7,288.864,45.196,334.06,cold,zip
1193.04,260.256,39.136,299.392,cold,zip
1288.811,292.806,30.357,323.163,cold,zip
811.598,191.174,27.592,218.766,cold,zip
1209.929,273.407,34.421,307.828,cold,zip
1381.218,301.697,41.14,342.837,cold,zip
1280.409,283.431,39.229,322.66,cold,zip
1092.947,232.833,44.023,276.856,cold,zip
1299.409,291.456,33.365,324.821,cold,zip
1199.449,280.12,24.486,304.606,cold,zip
884.654,182.59,29.45,212.04,cold,zip
1092.354,249.882,30.377,280.259,cold,zip
1211.279,282.444,33.46,315.904,cold,zip
987.591,209.561,28.398,237.959,cold,zip
1088.072,243.203,33.342,276.545,cold,zip
1212.085,283.565,38.399,321.964,cold,zip
1291.356,287.827,26.433,314.26,cold,zip
1572.063,342.34,46.103,388.443,cold,zip
1392.961,308.134,39.128,347.262,cold,zip
1006.037,241.072,28.419,269.491,cold,zip
1098.719,239.743,34.389,274.132,cold,zip
1179.531,266.393,29.49,295.883,cold,zip
1294.582,278.599,42.182,320.781,cold,zip
1195.408,264.849,36.294,301.143,cold,zip
1198.447,292.453,25.601,318.054,cold,zip
1298.846,281.309,38.226,319.535,cold,zip
803.811,171.167,28.527,199.694,cold,zip
1389.755,324.061,34.37,358.431,cold,zip
1185.051,269.991,29.346,299.337,cold,zip
1103.388,245.804,38.345,284.149,cold,zip
995.786,212.951,24.533,237.484,cold,zip
1281.107,286.74,39.145,325.885,cold,zip
1200.084,267.133,42.23,309.363,cold,zip
1007.491,219.515,38.219,257.734,cold,zip
889.775,201.487,23.588,225.075,cold,zip
1278.914,274.786,41.071,315.857,cold,zip
1089.187,251.52,25.545,277.065,cold,zip
1192.711,263.522,36.246,299.768,cold,zip
1097.825,241.152,32.349,273.501,cold,zip
1104.876,261.327,26.426,287.753,cold,zip
1287.361,277.374,38.224,315.598,cold,zip
1087.509,240.626,37.321,277.947,cold,zip
1112.116,264.334,29.37,293.704,cold,zip
1391.115,281.085,45.052,326.137,cold,zip
1294.203,311.969,34.336,346.305,cold,zip
1302.031,282.369,41.178,323.547,cold,zip
1573.901,341.134,39.21,380.344,cold,zip
879.301,195.345,27.624,222.969,cold,zip
1311.268,310.119,34.457,344.576,cold,zip
1215.538,271.01,37.178,308.188,cold,zip
899.106,216.819,21.583,238.402,cold,zip
1375.651,294.962,38.217,333.179,cold,zip
1289.782,301.49,28.479,329.969,cold,zip
1291.125,289.411,34.22,323.631,cold,zip
1281.65,284.138,33.428,317.566,cold,zip
1211.613,289.933,32.543,322.476,cold,zip
1307.196,286.171,39.336,325.507,cold,zip
903.545,198.416,32.414,230.83,cold,zip
1275.655,266.329,31.332,297.661,cold,zip
1282.836,287.76,36.338,324.098,cold,zip
1304.504,309.42,38.309,347.729,cold,zip
1399.96,305.806,40.057,345.863,cold,zip
1291.546,293.074,33.326,326.4,cold,zip
1206.25,269.866,31.288,301.154,cold,zip
1081.851,239.334,40.216,279.55,cold,zip
1105.618,240.698,38.315,279.013,cold,zip
1285.768,282.544,26.58,309.124,cold,zip
1296.715,295.94,38.217,334.157,cold,zip
1285.029,274.301,43.104,317.405,cold,zip
1307.785,307.307,31.317,338.624,cold,zip
1181.865,266.365,30.357,296.722,cold,zip
1202.713,260.211,42.223,302.434,cold,zip
1204.641,278.325,34.3,312.625,cold,zip
1289.942,296.246,30.409,326.655,cold,zip
1283.778,280.301,38.089,318.39,cold,zip
1292.904,285.174,36.259,321.433,cold,zip
1391.802,314.992,29.438,344.43,cold,zip
1295.37,285.418,35.188,320.606,cold,zip
1012.646,243.491,32.4,275.891,cold,zip
1300.025,297.896,41.156,339.052,cold,zip
1072.706,224.486,35.29,259.776,cold,zip
998.014,234.3,30.518,264.818,cold,zip
2795.39,246.771,30.371,277.142,cold,zip
5476.403,326.688,33.316,360.004,cold,zip
11588.29,582.21,63.065,645.275,cold,zip
16297.033,741.475,72.427,813.902,cold,zip
11090.041,592.236,73.569,665.805,cold,zip
14387.405,641.377,81.416,722.793,cold,zip
16196.958,638.189,77.871,716.06,cold,zip
7496.854,381.047,55.874,436.921,cold,zip
21291.937,750.465,90.374,840.839,cold,zip
10689.056,493.139,57.215,550.354,cold,zip
8200.034,408.731,54.863,463.594,cold,zip
20796.185,452.14,58.719,510.859,cold,zip
22795.62,723.978,105.322,829.3,cold,zip
20190.363,303.345,62.331,365.676,cold,zip
26489.493,673.806,86.054,759.86,cold,zip
41388.992,772.836,96.396,869.232,cold,zip
29093.86,743.029,104.908,847.937,cold,zip
28795.247,750.892,105.056,855.948,cold,zip
35695.347,773.276,101.16,874.436,cold,zip
34097.272,761.484,99.473,860.957,cold,zip
40198.46,564.151,86.956,651.107,cold,zip
20891.78,804.588,111.748,916.336,cold,zip
20496.335,802.162,93.689,895.851,cold,zip
18095.162,585.45,73.402,658.852,cold,zip
29191.702,828.069,100.106,928.175,cold,zip
44494.032,591.762,84.651,676.413,cold,zip
40795.136,930.721,128.316,1059.037,cold,zip
30986.858,771.141,92.258,863.399,cold,zip
55891.171,795.158,112.106,907.264,cold,zip
25899.659,549.71,77.062,626.772,cold,zip
32290.679,977.085,123.125,1100.21,cold,zip
69286.898,613.59,107.018,720.608,cold,zip
62992.391,858.734,101.216,959.95,cold,zip
39193.17,771.183,107.154,878.337,cold,zip
21294.311,724.892,82.213,807.105,cold,zip
27391.134,803.876,101.689,905.565,cold,zip
33494.925,512.409,74.865,587.274,cold,zip
33487.241,637.584,89.364,726.948,cold,zip
75092.028,766.813,105.466,872.279,cold,zip
24194.179,786.994,91.86,878.854,cold,zip
27198.313,718.568,109.671,828.239,cold,zip
58787.557,733.116,104.162,837.278,cold,zip
