elapsed_wall_ms,cpu_user_ms,cpu_sys_ms,cpu_total_ms,source
643.526,410.107,99.54,509.647,zip
474.586,340.282,96.079,436.361,zip
959.316,366.538,149.031,515.569,zip
446.965,303.66,107.879,411.539,zip
546.699,354.351,91.574,445.925,zip
503.707,367.56,79.904,447.464,zip
459.923,363.713,83.933,447.646,zip
606.333,361.291,134.987,496.278,zip
855.57,524.531,149.866,674.397,zip
568.751,367.106,91.776,458.882,zip
500.853,407.418,83.88,491.298,zip
764.03,391.402,122.56,513.962,zip
673.222,494.688,120.655,615.343,zip
625.954,504.272,96.051,600.323,zip
539.594,386.423,127.479,513.902,zip
465.517,376.402,60.064,436.466,zip
715.724,411.591,142.63,554.221,zip
655.662,396.523,124.163,520.686,zip
504.609,307.366,115.761,423.127,zip
571.642,383.163,99.782,482.945,zip
582.224,410.883,140.989,551.872,zip
719.662,386.588,138.067,524.655,zip
728.43,389.077,124.344,513.421,zip
578.26,401.697,100.424,502.121,zip
574.579,387.083,139.669,526.752,zip
807.217,380.539,153.835,534.374,zip
372.202,262.433,71.572,334.005,zip
735.378,391.523,83.897,475.42,zip
533.45,388.059,124.018,512.077,zip
435.7,343.298,59.877,403.175,zip
806.11,423.997,171.998,595.995,zip
494.599,319.85,119.944,439.794,zip
891.026,420.021,130.761,550.782,zip
526.91,358.704,131.525,490.229,zip
531.249,398.82,95.716,494.536,zip
819.062,480.854,107.298,588.152,zip
378.863,253.869,87.267,341.136,zip
693.986,465.0,155.0,620.0,zip
597.034,410.724,131.591,542.315,zip
551.31,345.516,142.972,488.488,zip
594.236,391.154,111.758,502.912,zip
536.453,335.71,167.855,503.565,zip
573.909,429.497,116.405,545.902,zip
549.704,387.398,129.132,516.53,zip
654.715,499.948,139.985,639.933,zip
520.102,372.243,136.089,508.332,zip
557.134,388.094,150.485,538.579,zip
525.094,374.642,127.537,502.179,zip
515.18,365.726,128.607,494.333,zip
636.477,473.635,139.304,612.939,zip
570.264,400.474,158.603,559.077,zip
535.253,369.852,151.122,520.974,zip
785.738,559.435,203.794,763.229,zip
309.618,186.825,93.412,280.237,zip
458.531,350.168,95.5,445.668,zip
547.741,429.919,104.466,534.385,zip
663.002,494.066,155.391,649.457,zip
512.633,357.243,142.085,499.328,zip
453.527,331.803,95.943,427.746,zip
599.719,409.283,162.918,572.201,zip
759.945,547.782,194.502,742.284,zip
448.444,301.767,135.001,436.768,zip
621.056,442.021,156.716,598.737,zip
447.67,341.585,96.447,438.032,zip
353.179,264.415,74.983,339.398,zip
434.402,339.172,83.795,422.967,zip
629.075,440.569,165.213,605.782,zip
635.181,452.795,168.295,621.09,zip
497.818,350.474,131.427,481.901,zip
597.381,441.106,133.545,574.651,zip
501.896,375.441,107.839,483.28,zip
513.707,370.743,128.954,499.697,zip
